file;name;country;capacity;license;author;source
torsv-llur.jpg;Tórsvøllur;Faroe Islands;5100;CC BY-SA 3.0;Eileen Sandá;https://commons.wikimedia.org/wiki/File:Torsvollur_Football_Venue_in_Torshavn_Faroe_Islands.JPG
gran-canaria-stadium.jpg;Gran Canaria Stadium;Spain;32392;CC BY-SA 4.0;Beta15;https://commons.wikimedia.org/wiki/File:Estadio_de_Gran_Canaria_7-1-2017.jpg
air-albania-stadium.jpg;Air Albania Stadium;Albania;22500;CC BY 4.0;Albinfo;https://commons.wikimedia.org/wiki/File:Air_Albania_Stadium_close.jpg
gelredome.jpg;GelreDome;Netherlands;21000;CC BY-SA 3.0;unknown;https://commons.wikimedia.org/wiki/File:Gelredome.jpg
san-marino-stadium.jpg;San Marino Stadium;San Marino;6664;CC BY 4.0;Labicanense;https://commons.wikimedia.org/wiki/File:Stadio_Olimpico_(Serravalle).jpg
national-stadium-bukit-jalil.png;National Stadium, Bukit Jalil;Malaysia;85000;CC BY-SA 4.0;Pak Misai;https://commons.wikimedia.org/wiki/File:Bukit_Jalil_National_Stadium_2021.png
king-fahd-sports-city.jpg;King Fahd Sports City;Saudi Arabia;70200;CC BY 2.0;alobayd;https://commons.wikimedia.org/wiki/File:KingFahdInternationalStadium.jpg
lerkendal-stadion.jpg;Lerkendal Stadion;Norway;21423;CC BY-SA 4.0;Ssu;https://commons.wikimedia.org/wiki/File:Lerkendal_stadion,_2021_(2).jpg
afas-stadion.jpg;AFAS Stadion;Netherlands;17023;CC BY-SA 4.0;Jesperverbruggen;https://commons.wikimedia.org/wiki/File:Vooraanzicht_AFAS_Stadion_april2022.jpg
stade-josy-barthel.jpg;Stade Josy Barthel;Luxembourg;8054;CC BY-SA 1.0;Cornischong;https://commons.wikimedia.org/wiki/File:Stade_Josy_Barthel.jpg
teddy-stadium.jpg;Teddy Stadium;Israel;31733;CC BY-SA 4.0;Hagai Agmon-Snir حچاي اچمون-سنير חגי אגמון-שניר;https://commons.wikimedia.org/wiki/File:TeddyStadiumJerusalem%D9%90Apr172023_03.jpg
stozice-stadium.jpg;Stožice Stadium;Slovenia;16038;CC BY-SA 2.0;The Stadium Guide;https://commons.wikimedia.org/wiki/File:Sto%C5%BEice_(31296599020).jpg
skonto-stadium.jpg;Skonto Stadium;Latvia;8087;CC0;Bendžamins;https://commons.wikimedia.org/wiki/File:Skonto_stadium_(20.10.2025.).jpg
amman-international-stadium.jpg;Amman International Stadium;Jordan;25000;CC BY-SA 2.5;The original uploader was Freedom's Falcon at Arabic Wikipedia.;https://commons.wikimedia.org/wiki/File:Aerial_View_of_Amman_International_Stadium.jpg
estadi-comunal-d-andorra-la-vella.png;Estadi Comunal d'Andorra la Vella;Andorra;850;CC BY-SA 3.0;kyselak;https://commons.wikimedia.org/wiki/File:Stadium_andorra.png
marrakesh-stadium.jpg;Marrakesh Stadium;Morocco;45240;CC BY 3.0;Nilgro;https://commons.wikimedia.org/wiki/File:Stade_de_marrakech.jpg
national-stadium.jpg;National Stadium;Singapore;55000;CC BY-SA 4.0;Exec8;https://commons.wikimedia.org/wiki/File:Seating_at_Singapore_National_Stadium.jpg
zayed-sports-city-stadium.jpg;Zayed Sports City Stadium;United Arab Emirates;43000;CC BY 3.0;Валерий Дед;https://commons.wikimedia.org/wiki/File:Abu_Dhabi_Zayed_Sports_City_Stadium_1.jpg
bunyodkor-stadium.jpg;Bunyodkor Stadium;Uzbekistan;34000;CC BY 4.0;Прикли;https://commons.wikimedia.org/wiki/File:National_Stadium_(Uzbekistan),_Uzbekistan-Qatar,_10_June_2025.jpg
kim-il-sung-stadium.png;Kim Il-sung Stadium;North Korea;70000;CC BY 3.0;Daniel Hough;https://commons.wikimedia.org/wiki/File:North_Korea_v_Philippines,_8_October_2015_C.png
estadio-metropolitano-roberto-melendez.jpg;Estadio Metropolitano Roberto Meléndez;Colombia;46692;CC BY-SA 4.0;Mkstillo;https://commons.wikimedia.org/wiki/File:Estadio_Metropolitano_de_Baranquilla_2011.jpg
euroborg.jpg;Euroborg;Netherlands;22550;CC BY-SA 3.0;Kevster at Dutch Wikipedia;https://commons.wikimedia.org/wiki/File:Euroborg.jpg
stadion-antona-malatinskeho.jpg;Štadión Antona Malatinského;Slovakia;19200;CC BY-SA 4.0;Vincenzo.togni;https://commons.wikimedia.org/wiki/File:The_City_Arena_in_Trnava_(2018).jpg
stade-ahmadou-ahidjo.jpg;Stade Ahmadou Ahidjo;Cameroon;52000;CC BY-SA 4.0;Kondah;https://commons.wikimedia.org/wiki/File:Stade_Omnisports_Ahmadou_Ahidjo_Yaound%C3%A9_01.jpg
felix-houphouet-boigny-stadium.jpg;Felix Houphouet Boigny Stadium;Ivory Coast;50000;CC BY-SA 4.0;Kod B;https://commons.wikimedia.org/wiki/File:Stade_F%C3%A9lix_Houphou%C3%ABt-Boigny_r%C3%A9habilit%C3%A9_04.jpg
national-stadium-of-peru.jpg;National Stadium of Peru;Peru;43086;CC BY 2.0;Ministerio de Defensa del Perú;https://commons.wikimedia.org/wiki/File:Vista_a%C3%A9rea_del_estadio_nacional_del_Per%C3%BA_(2021).jpg
estadio-defensores-del-chaco.jpg;Estadio Defensores del Chaco;Paraguay;42354;CC BY-SA 4.0;Hazaña17;https://commons.wikimedia.org/wiki/File:Estadio_Defensores_del_Chaco_en_2019.jpg
