file;manager;license;author;source;modified
fabio-capello.jpg;Fabio Capello;CC BY-SA 3.0;Садовников Дмитрий;https://commons.wikimedia.org/wiki/File:Fabio_Capello_2012.jpg;cropped to the head and resized to 320px
fabio-grosso.jpg;Fabio Grosso;CC BY-SA 4.0;Original: Antonio Fraioli Derivative work: Lorenzo De Leonardis2;https://commons.wikimedia.org/wiki/File:Fabio_Grosso_-_Frosinone_Calcio_-_DSC_2731_AF_(cropped).jpg;cropped to the head and resized to 320px
fabrizio-ravanelli.jpg;Fabrizio Ravanelli;CC BY-SA 3.0;Bart ryker;https://commons.wikimedia.org/wiki/File:Fabrizio_Ravanelli_maggio_2012.jpg;cropped to the head and resized to 320px
fatih-terim.jpg;Fatih Terim;CC BY-SA 3.0;Ирина Рыбакова;https://commons.wikimedia.org/wiki/File:Fatih_Terim_2018.jpg;cropped to the head and resized to 320px
felix-magath.jpg;Felix Magath;CC BY-SA 4.0;Frank Schwichtenberg;https://commons.wikimedia.org/wiki/File:Felix_Magath_-_Kicken_mit_Herz_2024_01.jpg;cropped to the head and resized to 320px
fernando-gago.jpg;Fernando Gago;CC BY 3.0;Fanny Schertzer;https://commons.wikimedia.org/wiki/File:Ricardo_Quaresma_(L),_Fernando_Gago_(R)_%E2%80%93_Portugal_vs._Argentina,_9th_February_2011_(1)_(cropped).jpg;cropped to the head and resized to 320px
fernando-santos.jpg;Fernando Santos;CC BY 2.0;Beşiktaş JK;https://commons.wikimedia.org/wiki/File:Fernando_Santos_20240116_1.jpg;cropped to the head and resized to 320px
filippo-inzaghi.jpg;Filippo Inzaghi;CC BY-SA 3.0;Delfort;https://commons.wikimedia.org/wiki/File:Filippo_Inzaghi_2011.jpg;cropped to the head and resized to 320px
frank-de-boer.jpg;Frank de Boer;CC BY-SA 1.0;Yulia Novikova;https://commons.wikimedia.org/wiki/File:FrankBoer.JPG;cropped to the head and resized to 320px
frank-lampard.jpg;Frank Lampard;CC BY 4.0;Mehdi Bolourian;https://commons.wikimedia.org/wiki/File:Frank_Lampard_2019.jpg;cropped to the head and resized to 320px
frank-rijkaard.jpg;Frank Rijkaard;CC0;Marcel Antonisse / Anefo;https://commons.wikimedia.org/wiki/File:Ajax_selectie_seizoen_1981_1982_nr._140a_E._Ophof_speler,_nr._15a_F._Rijka,_Bestanddeelnr_253-8568.jpg;cropped to the head and resized to 320px
franz-beckenbauer.jpg;Franz Beckenbauer;Public domain;Panini Group;https://commons.wikimedia.org/wiki/File:Franz_Beckenbauer_(1975).jpg;cropped to the head and resized to 320px
gabri-garcia.jpg;Gabri García;CC BY-SA 2.0;Nuță Lucian from Cluj-Napoca, Romania;https://commons.wikimedia.org/wiki/File:Genera%C8%9Bia_de_Aur_vs_Barcelona_Legends_(0-2)_2018_Sports_Festival_-_meciul_amintirilor._(52810598359)_(cropped).jpg;cropped to the head and resized to 320px
gary-caldwell.jpg;Gary Caldwell;CC BY-SA 3.0;Новикова Юлия;https://commons.wikimedia.org/wiki/File:Gary_Caldwell.jpg;cropped to the head and resized to 320px
gennaro-gattuso.jpg;Gennaro Gattuso;CC BY-SA 3.0;Рыбакова Елена;https://commons.wikimedia.org/wiki/File:Gennaro_Gattuso_2008.jpg;cropped to the head and resized to 320px
giovanni-ferrari.jpg;Giovanni Ferrari;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:FBC_Juventus_-_1930s_-_Giovanni_Ferrari.jpg;cropped to the head and resized to 320px
giovanni-trapattoni.jpg;Giovanni Trapattoni;CC BY-SA 3.0 at;Michael Kranewitter;https://commons.wikimedia.org/wiki/File:FIFA_WC-qualification_2014_-_Austria_vs_Ireland_2013-09-10_-_Giovanni_Trapattoni_05.JPG;cropped to the head and resized to 320px
giovanni-van-bronckhorst.jpg;Giovanni van Bronckhorst;CC BY 2.0;Beşiktaş JK;https://commons.wikimedia.org/wiki/File:Giovanni_van_Brocnkhorst_20240803.jpg;cropped to the head and resized to 320px
giuseppe-meazza.jpg;Giuseppe Meazza;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:Giuseppe_Meazza_1935.jpg;cropped to the head and resized to 320px
graham-arnold.jpg;Graham Arnold;CC BY 4.0;Foad Ashtari;https://commons.wikimedia.org/wiki/File:4822290_AE7I6542_(cropped).jpg;cropped to the head and resized to 320px
graham-potter.jpg;Graham Potter;CC BY 2.0;jamesboyes;https://commons.wikimedia.org/wiki/File:Graham_Potter,_Brighton_%26_Hove_Albion_vs_RCD_Espanyol,_30_July_2022_(1)_(cropped).jpg;cropped to the head and resized to 320px
habib-beye.jpg;Habib Beye;CC BY 2.0;scartinho;https://commons.wikimedia.org/wiki/File:Habib_Beye2_(cropped).jpg;cropped to the head and resized to 320px
hans-krankl.jpg;Hans Krankl;CC BY-SA 2.0 de;Steindy 12:31, 26. Jul. 2008 (CEST);https://commons.wikimedia.org/wiki/File:Hans_Krankl.jpg;cropped to the head and resized to 320px
hansi-flick.jpg;Hansi Flick;CC BY-SA 4.0;Steffen Prößdorf;https://commons.wikimedia.org/wiki/File:2022_Hansi_Flick_(cropped).jpg;cropped to the head and resized to 320px
harry-kewell.jpg;Harry Kewell;CC BY-SA 3.0;Kevin Airs;https://commons.wikimedia.org/wiki/File:HarryKewell.jpg;cropped to the head and resized to 320px
heimir-hallgrimsson.jpg;Heimir Hallgrímsson;CC BY-SA 3.0;Светлана Бекетова;https://commons.wikimedia.org/wiki/File:Heimir_Hallgr%C3%ADmsson.jpg;cropped to the head and resized to 320px
henning-berg.jpg;Henning Berg;CC BY-SA 3.0;Роман Шевчук;https://commons.wikimedia.org/wiki/File:Legia_tren_(2).jpg;cropped to the head and resized to 320px
hernan-crespo.jpg;Hernán Crespo;CC0;Omgosh30;https://commons.wikimedia.org/wiki/File:Hern%C3%A1n_Crespo.png;cropped to the head and resized to 320px
herve-renard.jpg;Hervé Renard;CC BY-SA 3.0;Кирилл Венедиктов;https://commons.wikimedia.org/wiki/File:Herv%C3%A9_Renard.jpg;cropped to the head and resized to 320px
hong-myung-bo.jpg;Hong Myung-bo;CC BY-SA 2.0;Republic of Korea;https://commons.wikimedia.org/wiki/File:Hong_Myung-Bo.jpg;cropped to the head and resized to 320px
